motif_seed,center_node_id,confidence,size,cohesion,local_max,mix_TEMPORAL_NEXT,mix_MOVEMENT_TRANSITION,mix_LIQ_LINK,mix_CONTEXT,liq_links_1_15m,in_burst,score
zone_1,4390,0.6956659565531809,4,0.001,True,0.0,0.75,0.0,0.25,0,False,0.0006956659565531809
zone_0,4389,0.7128585639235989,4,-0.004,True,0.25,0.75,0.0,0.0,0,True,-0.0031365776812638355
zone_2,4391,0.7125602670540674,4,-0.0581,True,0.25,0.5,0.0,0.25,0,False,-0.04139975151584131
zone_3,4392,0.7385509035588367,4,-0.0995,True,0.25,0.5,0.0,0.25,0,True,-0.08083439639451469
