session_file,session_name,session_date,session_quality,total_nodes,total_edges,processing_time,fvg_events,expansion_events,consolidation_events,retracement_events,reversal_events,fvg_pct,expansion_pct,retracement_pct,reversal_pct,price_volatility,mean_energy,constant_features_filtered
enhanced_rel_LUNCH_Lvl-1_2025_07_25.json,LUNCH,2025-07-25,excellent,30,181,0.020271,7,3,0,1,0,23.333333333333332,10.0,3.3333333333333335,0.0,0.35361165662871424,0.02949999999999999,20
enhanced_rel_LUNCH_Lvl-1_2025_07_30.json,LUNCH,2025-07-30,excellent,33,175,0.014357,10,4,2,6,0,30.303030303030305,12.121212121212121,18.181818181818183,0.0,0.31953547931127324,0.0295,19
enhanced_rel_MIDNIGHT_Lvl-1_2025_07_25.json,MIDNIGHT,2025-07-25,excellent,24,97,0.013488,0,4,1,0,0,0.0,16.666666666666664,0.0,0.0,0.4164382553594264,0.0145,21
enhanced_rel_LONDON_Lvl-1_2025_08_07.json,LONDON,2025-08-07,excellent,55,290,0.023114,0,14,10,10,3,0.0,25.454545454545453,18.181818181818183,5.454545454545454,0.2481878540771388,0.11993000000000001,21
enhanced_rel_PREMARKET_Lvl-1_2025_08_07.json,PREMARKET,2025-08-07,excellent,30,147,0.019614,0,7,5,3,2,0.0,23.333333333333332,10.0,6.666666666666667,0.24546568368177799,0.07748000000000001,22
enhanced_rel_MIDNIGHT_Lvl-1_2025_07_29.json,MIDNIGHT,2025-07-29,excellent,28,111,0.008655,8,3,0,0,2,28.57142857142857,10.714285714285714,0.0,7.142857142857142,0.35529881071847,0.016000000000000004,20
enhanced_rel_NY_AM_Lvl-1_2025_07_31.json,NY_AM,2025-07-31,excellent,37,254,0.023263,22,4,0,2,2,59.45945945945946,10.81081081081081,5.405405405405405,5.405405405405405,0.36859160176648953,0.0365,19
enhanced_rel_NY_PM_Lvl-1_2025_07_28.json,NY_PM,2025-07-28,excellent,32,155,0.011035,13,4,4,0,2,40.625,12.5,0.0,6.25,0.31304036151991843,0.0795,19
enhanced_rel_ASIA_Lvl-1_2025_07_24.json,ASIA,2025-07-24,excellent,22,74,0.013529,6,0,0,0,0,27.27272727272727,0.0,0.0,0.0,0.39941546392124844,0.14950000000000005,22
enhanced_rel_NY_AM_Lvl-1_2025_07_30.json,NY_AM,2025-07-30,excellent,43,262,0.021303,10,8,0,2,0,23.25581395348837,18.6046511627907,4.651162790697675,0.0,0.3319743012887902,0.0745,20
enhanced_rel_NY_PM_Lvl-1_2025_07_29.json,NY_PM,2025-07-29,excellent,61,481,0.032942,24,16,4,6,2,39.34426229508197,26.229508196721312,9.836065573770492,3.278688524590164,0.2894506718007831,0.07950000000000003,18
